adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_name,center_lat,center_lon,flood_frequency_years,flood_pixel_days,crop_pct,rangeland_pct,cattle_sum,pop_sum
Longochuk,,,,SS0703,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,6928.06607159,v03,en,,,,Longochuk,9.30729214,33.59390884,0.0,0.0,0.00012121212121212121,29.007757575757577,104215.82975774755,72490.71865604073
Luakpiny/Nasir,,,,SS0704,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,5185.7655789,v03,en,,,,Luakpiny/Nasir,8.89905827,33.12618359,0.0,0.0,0.0,24.60035945363048,91833.42188563573,278842.0548799038
Maban,,,,SS0705,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,11821.21934792,v03,en,,,,Maban,10.01734125,33.47959263,0.0,0.0,0.04172289698605488,56.348599865047234,112624.6569939516,80023.43473395891
Maiwut,,,,SS0706,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,3686.23086924,v03,en,,,,Maiwut,8.78010538,33.82713258,0.0,0.0,6.863417982155113e-05,30.2238846945779,57170.19636334422,124668.7214750275
Malakal,,,,SS0707,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,754.68040964,v03,en,,,,Malakal,9.66642037,31.72967506,0.0,0.0,0.0005961505706012604,20.56608754896951,14137.500063310226,186383.65991621464
Manyo,,,,SS0708,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,6679.0313175,v03,en,,,,Manyo,11.03559195,32.56093493,0.0,0.0,1.3705365853658538,20.993539295392953,80502.18835623917,60718.18457301706
Melut,,,,SS0709,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,6941.44972601,v03,en,,,,Melut,10.36299024,32.59763162,0.0,0.0,0.019189814814814816,47.56451388888889,92664.4749313025,126705.71150086261
Panyikang,,,,SS0710,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,5110.31311683,v03,en,,,,Panyikang,9.34710591,31.72193592,0.0,0.0,0.0003477656059815684,25.255228339735382,50994.37039438587,61719.230794258416
Renk,,,,SS0711,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,10024.09808705,v03,en,,,,Renk,11.2888182,32.918168,0.0,0.0,7.286621139585093,30.78326527738665,211570.49680005212,186869.48432470672
Ulang,,,,SS0712,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,4833.58875601,v03,en,,,,Ulang,8.55430101,32.81267081,0.0,0.0,0.0,8.186440311885786,73554.9923773073,138830.6403196603
Gogrial East,,,,SS0801,Warrap,,,,SS08,South Sudan,,,,SS,2022-12-19,,4424.80190854,v03,en,,,,Gogrial East,8.51652789,28.46080174,0.0,0.0,0.3011198208286674,15.32913400522583,206271.32815608417,126070.37499597296
Gogrial West,,,,SS0802,Warrap,,,,SS08,South Sudan,,,,SS,2022-12-19,,4401.06259255,v03,en,,,,Gogrial West,8.57182872,28.14722356,0.0,0.0,2.281783851825211,33.15323982497153,244418.04604152864,322563.06903560925
Tonj East,,,,SS0803,Warrap,,,,SS08,South Sudan,,,,SS,2022-12-19,,4421.41074589,v03,en,,,,Tonj East,7.8397522,29.31623298,0.0,0.0,0.0871770181351308,41.359460760712565,222152.49576464482,180278.85104725696
Tonj North,,,,SS0804,Warrap,,,,SS08,South Sudan,,,,SS,2022-12-19,,11227.83028852,v03,en,,,,Tonj North,8.26412941,29.15583865,0.0,0.0,0.1819526627218935,24.71450703662242,512008.55974653736,250906.76022671163
Tonj South,,,,SS0805,Warrap,,,,SS08,South Sudan,,,,SS,2022-12-19,,7423.30593617,v03,en,,,,Tonj South,7.1166441,28.69592125,0.0,0.0,0.14386724386724387,34.42620851370852,193556.79397429895,117547.0531157367
Twic,,,,SS0806,Warrap,,,,SS08,South Sudan,,,,SS,2022-12-19,,3957.0644583,v03,en,,,,Twic,9.06387491,28.40049109,0.0,0.0,0.6346745562130177,22.56161735700197,243078.4653210141,266520.5515493881
Abyei Region,,,,SS0001,Abyei Region,,,,SS00,South Sudan,,,,SS,2022-12-19,,10495.85057918,v03,en,,,,Abyei Region,9.71681288,28.42794173,0.0,0.0,0.1610523070599116,61.471359572500255,132982.4955689105,30.949485689401627
Jur River,,,,SS0901,Western Bahr el Ghazal,,,,SS09,South Sudan,,,,SS,2022-12-19,,10048.22708798,v03,en,,,,Jur River,7.61591508,28.18402919,0.0,0.0,0.06740081224617307,22.857214759276616,283219.50814170705,277365.47283730283
Raja,,,,SS0902,Western Bahr el Ghazal,,,,SS09,South Sudan,,,,SS,2022-12-19,,62010.56872549,v03,en,,,,Raja,8.54306119,25.21988189,0.0,0.0,0.03876768867924528,22.222280176584423,737917.1796449479,58591.47357140109
Wau,,,,SS0903,Western Bahr el Ghazal,,,,SS09,South Sudan,,,,SS,2022-12-19,,19212.82754001,v03,en,,,,Wau,7.39352025,27.37272145,0.0,0.0,0.009726492960025894,30.212469655284025,429582.21035622864,313683.5374870077
