FID,Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source,facility_id,facility_name,exposed_dates,first_exposure,last_exposure,index_admin1,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
56034,South Sudan,Upper Nile,Oweci Primary Health Care Centre,Primary Health Care Centre,MoH,9.4337,31.5759,GPS,1246,Oweci Primary Health Care Centre,18,2021-11-18,2022-01-27,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
56063,South Sudan,Upper Nile,Wau Shilluk Health Primary Health Care Centre,Primary Health Care Centre,MoH,9.6613,31.7459,Geonames,1275,Wau Shilluk Health Primary Health Care Centre,17,2021-11-25,2025-12-13,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
55447,South Sudan,Jonglei,Gorwai /Kalel Primary Health Care Unit,Primary Health Care Unit,MoH,8.1328,31.0768,GPS,660,Gorwai /Kalel Primary Health Care Unit,15,2021-01-16,2022-02-20,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55436,South Sudan,Jonglei,Dhoreak Primary Health Care Unit,Primary Health Care Unit,MoH,9.0346,30.7094,GPS,649,Dhoreak Primary Health Care Unit,14,2021-11-23,2022-02-20,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55550,South Sudan,Jonglei,Wan Machar Primary Health Care Centre,Primary Health Care Centre,MoH,8.232,30.5943,GPS,763,Wan Machar Primary Health Care Centre,14,2020-10-10,2021-02-12,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55533,South Sudan,Jonglei,Payom Primary Health Care Unit,Primary Health Care Unit,MoH,6.8532,31.3392,Geonames,746,Payom Primary Health Care Unit,14,2022-10-27,2023-01-24,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55467,South Sudan,Jonglei,Kuemduok Primary Health Care Unit,Primary Health Care Unit,MoH,9.21,30.9439,GPS,680,Kuemduok Primary Health Care Unit,14,2020-12-17,2021-02-17,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55421,South Sudan,Jonglei,Baping Primary Health Care Unit,Primary Health Care Unit,MoH,7.076,31.4284,GPS,634,Baping Primary Health Care Unit,11,2023-12-20,2024-01-14,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
56006,South Sudan,Upper Nile,Malakal Teaching Hospital,Teaching Hospital,MoH,9.5283,31.6506,GPS,1218,Malakal Teaching Hospital,11,2021-12-25,2023-01-31,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
56017,South Sudan,Upper Nile,N.H.I.F Primary Health Care Centre,Primary Health Care Centre,MoH,9.5273,31.6513,GPS,1229,N.H.I.F Primary Health Care Centre,11,2021-12-25,2023-01-31,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
55907,South Sudan,Unity,Thakker Primary Health Care Unit,Primary Health Care Unit,MoH,8.3931,30.0494,GPS,1119,Thakker Primary Health Care Unit,10,2021-11-09,2022-11-25,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55994,South Sudan,Upper Nile,Lelo Primary Health Care Unit,Primary Health Care Unit,MoH,9.5228,31.6301,GPS,1206,Lelo Primary Health Care Unit,10,2021-11-25,2022-01-05,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
56075,South Sudan,Warrap,Ajong Primary Health Care Unit,Primary Health Care Unit,MoH,9.0791,28.3433,GPS,1287,Ajong Primary Health Care Unit,8,2021-10-18,2022-10-28,7,Warrap,,,,SS08,South Sudan,,,,SS,2022-12-19,,35855.47592998,v03,en,,,,Warrap,7.88537403,28.96914084
55448,South Sudan,Jonglei,Haat Primary Health Care Unit,Primary Health Care Unit,MoH,8.5166,30.6325,GPS,661,Haat Primary Health Care Unit,8,2020-12-26,2021-02-10,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55840,South Sudan,Unity,Jany Low Primary Health Care Unit,Primary Health Care Unit,MoH,7.6873,30.2342,GPS,1052,Jany Low Primary Health Care Unit,8,2021-01-05,2021-03-12,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55903,South Sudan,Unity,Ruath Nyibol Primary Health Care Unit,Primary Health Care Unit,MoH,9.037,28.922,GPS,1115,Ruath Nyibol Primary Health Care Unit,8,2015-01-02,2022-11-27,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
56054,South Sudan,Upper Nile,Tonga Primary Health Care Centre,Primary Health Care Centre,MoH,9.47,31.0494,GPS,1266,Tonga Primary Health Care Centre,7,2021-10-31,2021-12-13,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
55998,South Sudan,Upper Nile,Lual Yak Primary Health Care Unit,Primary Health Care Unit,MoH,8.7702,32.9771,GPS,1210,Lual Yak Primary Health Care Unit,7,2020-11-06,2020-12-10,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
55458,South Sudan,Jonglei,Koatnyakoang Primary Health Care Unit,Primary Health Care Unit,MoH,9.4419,31.0565,GPS,671,Koatnyakoang Primary Health Care Unit,6,2021-01-09,2021-02-10,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55409,South Sudan,Jonglei,Akuai-Deng Primary Health Care Unit,Primary Health Care Unit,MoH,6.5635,31.5291,GPS,622,Akuai-Deng Primary Health Care Unit,6,2020-09-23,2021-02-12,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55407,South Sudan,Jonglei,Akeer (Ascom) Primary Health Care Unit,Primary Health Care Unit,MoH,7.8321,30.8948,GPS,620,Akeer (Ascom) Primary Health Care Unit,5,2022-12-06,2023-02-05,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55649,South Sudan,Lakes,Mingkaman Primary Health Care Unit,Primary Health Care Unit,MoH,6.05,31.5152,Geonames,862,Mingkaman Primary Health Care Unit,5,2015-01-16,2025-12-27,3,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,43185.80680932,v03,en,,,,Lakes,6.75395894,30.0952285
55612,South Sudan,Lakes,IMC Site 2 _Awerial Primary Health Care Unit,Primary Health Care Unit,MoH,6.05,31.5152,Geonames,825,IMC Site 2 _Awerial Primary Health Care Unit,5,2015-01-16,2025-12-27,3,Lakes,,,,SS04,South Sudan,,,,SS,2022-12-19,,43185.80680932,v03,en,,,,Lakes,6.75395894,30.0952285
55943,South Sudan,Upper Nile,Bieng Thiang Primary Health Care Unit,Primary Health Care Unit,MoH,9.8335,32.0376,GPS,1155,Bieng Thiang Primary Health Care Unit,4,2018-12-05,2022-02-06,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
56047,South Sudan,Upper Nile,Rup Board Primary Health Care Centre,Primary Health Care Centre,MoH,8.6691,32.7915,Geonames,1259,Rup Board Primary Health Care Centre,4,2020-11-15,2021-01-07,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
56036,South Sudan,Upper Nile,Pakang Primary Health Care Unit,Primary Health Care Unit,MoH,9.3651,31.4679,GPS,1248,Pakang Primary Health Care Unit,4,2022-01-12,2022-01-28,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
55431,South Sudan,Jonglei,Chotbora (Old Fang) Primary Health Care Unit,Primary Health Care Unit,MoH,9.1181,30.9262,GPS,644,Chotbora (Old Fang) Primary Health Care Unit,4,2021-11-25,2022-01-05,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
55915,South Sudan,Unity,Turkey Primary Health Care Unit,Primary Health Care Unit,MoH,8.7971,29.5875,GPS,1127,Turkey Primary Health Care Unit,4,2015-01-25,2021-02-10,5,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
55502,South Sudan,Jonglei,Nyawit Outreach Primary Health Care Unit,Primary Health Care Unit,MoH,7.7151,30.6393,GPS,715,Nyawit Outreach Primary Health Care Unit,3,2024-12-22,2025-02-05,2,Jonglei,,,,SS03,South Sudan,,,,SS,2022-12-19,,121917.69877381,v03,en,,,,Jonglei,7.62046957,32.14872958
56109,South Sudan,Warrap,Keet Primary Health Care Unit,Primary Health Care Unit,MoH,8.8185,28.0709,GPS,1319,Keet Primary Health Care Unit,3,2021-10-29,2021-11-09,7,Warrap,,,,SS08,South Sudan,,,,SS,2022-12-19,,35855.47592998,v03,en,,,,Warrap,7.88537403,28.96914084
55944,South Sudan,Upper Nile,Bimbim Primary Health Care Unit,Primary Health Care Unit,MoH,8.7805,32.8499,GPS,1156,Bimbim Primary Health Care Unit,3,2020-11-22,2020-12-01,6,Upper Nile,,,,SS07,South Sudan,,,,SS,2022-12-19,,77235.24383485,v03,en,,,,Upper Nile,10.11292257,32.78939091
