date,inundation_km2,population_exposed_est,crop_exposed_km2,rangeland_exposed_km2,cattle_exposure_index,flooded_cells,health_facilities_exposed
2017-04-03,217.06453851637673,0.0,8.370768982236113,27.33644319649409,12652834.910899121,4079,0
2017-04-04,181.42218295751604,0.0,10.175984607690983,22.43043759252934,10979749.0359198,3412,0
2017-04-05,108.40983237833788,0.0,5.395649340777147,13.288964143203621,6355249.664864639,2042,0
2017-04-06,96.33856527777209,0.0,3.9139977214655826,7.005182947894337,5569403.729419351,1814,0
2017-04-07,49.48737189953076,0.0,1.16162331041205,1.2186994568086331,2078732.2356657875,932,0
2017-04-08,45.177776329934034,0.0,0.9501637183838402,1.916027709442325,2714547.8193468535,850,0
2017-04-09,50.09346020459158,0.0,0.6369112081726682,3.7861340038030358,3327822.625400915,942,0
2017-04-10,112.55937884954051,0.0,2.6509405232737167,11.509851097904448,8751344.877773408,2116,0
2017-04-11,125.82415471430082,1.0425599813461304,4.722984194900777,16.27700398653674,7849083.145103142,2367,0
2017-04-12,117.01110836524074,0.0,4.663472830811657,17.292219587362755,7282259.038978226,2203,0
2017-04-13,145.7347788364707,0.0,5.617239963574973,18.760037881622782,8017456.2369149625,2743,0
2017-04-14,92.10308098781375,0.0,3.178913958377379,12.807754334386429,4453983.46643157,1734,0
2017-04-15,112.13428494831025,0.0,3.444331941183162,12.873911552433098,6474124.919634809,2107,0
2017-04-16,40.45426469510861,0.0,0.6883402747507972,3.0321494915338736,1640792.0499217696,760,0
2017-04-17,74.23802503589735,0.0,2.4369555217723473,6.488450954120566,5539850.33710813,1396,0
2017-04-18,35.55121272951096,0.0,1.4349413123904353,4.257703776572158,1596298.9150096402,667,0
2017-04-19,62.48513813046975,0.0,2.442698290820812,7.024789056553514,4782805.907505191,1174,0
2017-04-20,85.68308422893762,0.0,2.652778465851414,9.471973775654536,5394759.7048061015,1609,0
2017-04-21,92.95209174899176,0.0,3.818494387549351,12.497917125850115,4830829.69268015,1747,0
2017-04-22,99.43182305301056,0.0,2.8676839935220815,12.993285462179216,5216929.4496456925,1867,0
2017-04-23,24.115568594573745,0.0,0.10603212126115702,1.3316103839506668,1625670.0261797972,453,0
2017-04-24,14.28036283667214,0.0,0.7986185416130347,4.207648377107332,384903.58388086036,268,0
2017-04-25,1.5940801920369698,0.0,0.05290988519070491,0.05290988519070491,30882.342756652386,30,0
2017-04-26,15.448394568505044,0.0,0.21244865774244084,1.8630965969181341,414805.4245086066,290,0
2017-04-27,84.14728853670758,0.0,3.079481919454335,13.138327092230856,2776397.8674539113,1580,0
2017-04-28,118.18334815420843,0.0,2.656143636243595,19.534058357080646,4865169.643180697,2219,0
2017-04-29,135.66470104942593,1.2560759782791138,2.550707275899147,22.136961268887866,5823337.033258797,2551,0
2017-04-30,27.18530897132222,0.0,0.053344333490312375,3.4086819465315106,509729.2416805907,510,0
2017-05-01,56.84314329617305,0.0,0.4249028337559613,6.286907019522752,4327490.230453627,1071,0
2017-05-02,52.21258781553355,0.0,0.47932205070066713,4.726224722905865,1654876.5669300077,981,0
2017-05-03,81.99246151086291,0.0,1.172620686817701,8.257035450024592,4196334.117363061,1540,0
2017-05-04,119.35971884978014,0.6901000142097473,2.9865383794363294,32.55069711114121,4684492.958431494,2239,0
2017-05-05,119.31322885483262,16.595245361328125,3.192481117043002,26.046504847064003,5043866.350292353,2239,0
2017-05-06,167.81250107766965,0.0,5.524002255095624,42.22539829959144,9141843.886086576,3151,0
2017-05-07,84.08871575426839,0.0,5.770395519334878,15.997393231788562,5640382.22876179,1583,0
2017-05-08,99.73262076486735,0.0,3.3850980826565102,13.730315724855657,6179236.348528449,1874,0
2017-05-09,60.54238401076078,0.0,0.7969589480942247,5.855405087870987,2431234.345364385,1137,0
2017-05-10,120.15850066108136,0.9207410216331482,4.846129009066496,22.652740896827293,6379404.361016421,2254,0
2017-05-11,134.46588664405093,0.9207410216331482,4.525990390227296,23.965659698061852,7469919.371629956,2524,0
2017-05-12,163.80556977002288,0.0,6.894966128653053,26.085058739018283,10221918.858151887,3077,0
2017-05-13,185.7102908932145,0.0,6.155708646442663,28.218108028324572,10895694.195296708,3486,0
2017-05-14,160.73096708735872,0.0,4.813615728301526,22.898210048548517,9458628.127961248,3017,0
2017-05-15,174.12282749995924,0.0,7.642934076129035,39.40996788262192,8883777.99222914,3267,0
2017-05-16,98.9398029666829,4.4015212059021,4.453167266602504,15.903781362197007,3782346.2650727434,1857,0
2017-05-17,164.22520187842161,569.476956486702,9.038799028738525,50.66565199444912,5484565.910411848,3083,1
2017-05-18,62.311898384227064,0.0,1.705155000860064,7.5088496672793,2250852.661268274,1170,0
2017-05-19,101.20069567309277,0.0,4.7219729227798215,23.8646087238669,4141111.5586571633,1899,0
2017-05-20,142.86960695684405,1.0425599813461304,2.230509659052227,21.92714058201895,4716437.821039133,2682,0
2017-05-21,215.8136664867601,0.0,6.934739502332744,40.318057019565714,9649859.69548812,4051,0
2017-05-22,332.3999341398217,3.8385940194129944,6.8078500403727835,59.62503895000982,16071975.119354814,6244,0
2017-05-23,164.73581631750824,0.0,3.4414231423688015,18.133258426542177,8708833.831838718,3092,0
2017-05-24,269.595204454832,1.0425599813461304,7.215580740600438,33.70207741101569,16096427.180962363,5061,0
2017-05-25,136.605022032612,0.0,2.967633184489012,6.874495557018662,5814869.846183965,2562,0
2017-05-26,230.08837500901168,0.0,6.893481420381305,28.33363221593355,14055172.843312,4319,0
2017-05-27,149.60603220864488,1.0425599813461304,2.0782852474526092,20.674474674318606,6199823.964597559,2803,0
2017-05-28,133.98188383001656,0.0,2.448001680773853,21.037800954264263,5571355.382176681,2511,0
2017-05-29,114.4958951001983,1.2560759782791138,1.7037431537749625,13.528911146790403,4129230.005739066,2146,0
2017-05-30,65.73332700211274,0.0,0.10651205091548918,5.120725152807595,1486247.6144876964,1231,0
2017-05-31,134.92847744759877,0.0,0.8509265364492623,15.819923754826824,4914437.317887336,2530,0
2017-06-01,74.58607962041941,0.0,2.6412511619473036,5.374834073646093,3185422.436209573,1401,0
2017-06-02,179.82217637736684,0.0,3.491666686273528,27.107904603926542,8763455.957702057,3376,0
2017-06-03,67.82778034823046,1.0425599813461304,1.373582432065151,2.7727062090614614,2056838.3683437635,1274,0
2017-06-04,144.67431279974124,0.0,2.1146472429523158,14.854005797269982,7889810.66375655,2717,0
2017-06-05,119.72897253265387,1.0425599813461304,0.6334971032412158,4.52333826090907,5250355.634127484,2250,0
2017-06-06,132.09229077930075,0.0,2.9056263488560248,6.440438397883134,6638469.455872769,2482,0
2017-06-07,140.54594694946863,0.0,3.0693029732559465,8.152769748008488,7689702.462929956,2640,0
2017-06-08,106.8250046414266,0.0,3.1167554670941335,4.470428407444122,5340858.927728745,2008,0
2017-06-09,131.96121904102122,0.0,4.701273358429797,10.851696725366759,7547649.488656672,2482,0
2017-06-10,97.18682887439779,1.0425599813461304,1.6386547258460762,3.4042207619085256,4197951.536699678,1827,0
2017-06-11,164.84120853637378,1.0425599813461304,6.667241485819735,18.625898557145533,9678198.060666585,3097,0
2017-06-12,113.70713628592455,1.0425599813461304,0.8532005717072358,5.545604375430317,4216439.034846984,2132,0
2017-06-13,151.88348346517867,0.0,4.070944673621175,8.252834337680486,8205065.920370306,2852,0
2017-06-14,130.94745138071443,0.0,2.484153498976575,3.570802780514405,7222140.816073354,2460,0
2017-06-15,98.26433329734742,0.0,4.594961033188625,3.826326529554352,6657875.943049022,1849,0
2017-06-16,127.93839500735679,0.0,6.81782539057409,8.410457342653205,8884233.555494836,2406,0
2017-06-17,52.34684758537265,0.2135159969329834,5.2306772968180715,4.24944302121215,3782049.2087740437,986,0
2017-06-18,127.2014401774564,0.2135159969329834,9.043941794498215,12.077275516534108,7766207.38308701,2391,0
2017-06-19,43.624011837390626,0.0,1.2705153894174026,2.1826672706255867,1612053.1955280006,819,0
2017-06-20,140.51161518419954,0.0,8.828879448603102,9.312352342427518,8007345.359593776,2639,0
2017-06-21,167.01581965401877,0.0,5.246697965733324,18.532297269403866,7877188.072909702,3134,0
2017-06-22,196.15491557582604,0.0,7.040868955269445,21.29561335353545,9735338.134576747,3683,0
2017-06-23,181.52457545543928,0.0,5.882077972560015,17.787436058491686,10520691.552742194,3409,0
2017-06-24,81.7054119994581,0.0,1.6378787250610107,2.7130167310221625,4222424.164015707,1536,0
2017-06-25,132.42334295049454,0.0,2.5522691028114033,12.628210885927135,7352908.172748187,2483,0
