lon,lat,exposed_dates,mean_population,cumulative_person_date_exposure,index_right,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
29.655208587646484,9.151041984558105,843,12.682024467033848,10690.946625709534,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.64270782470703,9.132291793823242,842,1.644612763953039,1384.7639472484589,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.68229103088379,9.119791984558105,841,14.140625759764319,11892.266263961792,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.65104103088379,9.148958206176758,841,8.522320539857771,7167.271574020386,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.646875381469727,9.115625381469727,841,2.5091182788685584,2110.1684725284576,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.657291412353516,9.151041984558105,839,7.412661622903344,6219.223101615906,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.68229103088379,9.117708206176758,839,1.1598577183961016,973.1206257343292,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.76770782470703,9.396875381469727,838,1.1345035823546616,950.7140020132065,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.688541412353516,9.003125190734863,837,15.9409179960955,13342.548362731934,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.648958206176758,9.140625,837,11.029634332144132,9231.803936004639,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.64270782470703,9.136458396911621,837,1.4682755994397965,1228.9466767311096,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
